年份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1950,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
1951,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2
1952,-7.9,-7.9,-7.9,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7
1953,-8.0,-8.0,-7.8,-7.4,-7.4,-7.4,-7.4,-7.4,-7.4,-7.4,-7.4,-7.4
1954,-6.1,-6.0,-6.0,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9
1955,-6.9,-7.0,-7.0,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7
1956,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9
1957,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8
1958,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7
1959,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7
1960,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9
1961,-6.5,-6.6,-6.6,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7
1962,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9
1963,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0
1964,-7.1,-7.1,-7.1,-7.1,-7.1,-7.1,-7.1,-7.1,-7.1,-7.1,-7.1,-7.1
1965,-7.4,-7.4,-7.5,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6
1966,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7
1967,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8
1968,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8
1969,-7.8,-7.8,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6
1970,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9
1971,-7.0,-7.1,-7.0,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7
1972,-5.8,-4.7,-4.7,-4.7,-4.7,-4.7,-4.7,-4.7,-4.7,-4.7,-4.7,-4.7
1973,-4.9,-4.6,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3
1974,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9
1975,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3
1976,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8
1977,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7
1978,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6
1979,0.0,0.0,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
1980,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
1981,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
1982,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.1
1983,2.4,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
1984,2.1,2.1,2.1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
1985,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
1986,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
1987,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
1988,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
1989,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
1990,-0.6,-0.8,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
1991,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
1992,-0.5,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
1993,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1994,-0.8,-0.8,-0.5,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
1995,0.6,0.4,0.6,0.6,0.1,-0.1,-0.2,-0.2,-0.2,-0.1,0.0,0.0
1996,0.0,0.0,-1.0,-1.0,-1.2,-1.0,-0.9,-0.9,-0.9,-0.9,0.5,-0.3
1997,-0.3,-0.1,0.2,0.2,0.3,0.3,0.3,0.5,0.7,2.2,2.1,2.2
1998,2.2,2.2,2.3,2.3,2.5,3.1,3.1,3.2,3.3,3.2,3.2,3.1
1999,2.7,2.6,1.9,1.9,-0.3,-0.3,-0.2,-0.5,-0.3,-0.4,0.0,0.0
2000,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4
2001,0.2,-0.2,-0.2,-0.8,-1.2,-1.2,-0.8,-0.8,-0.5,-0.4,-0.3,0.0
2002,0.0,0.2,-0.3,-0.2,-0.3,-0.1,-0.2,-0.2,-0.1,-0.1,0.0,0.0
2003,0.2,0.5,0.5,0.6,0.4,0.3,0.5,0.5,0.5,0.8,0.8,1.3
2004,1.3,1.4,1.2,1.2,0.8,0.7,0.6,0.6,0.6,0.5,0.8,0.7
2005,0.7,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.6,0.6,0.7,0.6
2006,0.7,0.7,0.7,1.1,1.1,1.0,1.3,1.5,1.5,1.7,1.9,2.0
2007,1.9,1.9,1.8,1.8,1.8,1.6,1.3,1.4,1.4,1.2,1.2,1.4
2008,1.4,1.3,1.0,0.7,0.9,1.0,1.0,1.1,1.0,0.7,0.8,1.0
2009,1.1,1.0,0.6,0.5,0.4,0.8,1.2,1.2,1.2,1.2,1.6,1.7
2010,1.1,0.9,0.8,1.0,1.2,1.1,1.0,1.0,1.1,1.1,1.2,1.2
2011,2.0,2.0,2.0,2.0,2.1,2.1,2.1,1.8,1.8,1.9,1.9,1.9
2012,1.9,1.9,1.9,1.8,1.7,1.8,1.8,1.6,1.7,1.7,1.7,1.7
2013,1.7,1.7,1.8,2.0,2.0,2.1,2.2,2.3,2.3,2.3,2.3,2.4
2014,2.2,2.0,2.0,1.4,1.3,1.2,1.2,1.2,1.2,1.3,1.7,1.7
2015,1.7,1.8,1.8,1.4,1.0,1.2,1.0,1.2,1.8,1.8,1.9,1.6
2016,1.6,1.4,0.8,0.6,0.3,0.3,-0.1,0.0,-0.2,-0.3,0.0,-0.5
2017,-0.8,-0.8,-1.1,-0.8,-1.3,-1.9,-2.1,-2.2,-1.6,-1.7,-1.3,-1.6
2018,-1.9,-2.0,-3.0,-3.6,-3.3,-3.4,-3.8,-4.2,-4.6,-4.9,-4.8,-4.8
2019,-4.9,-4.9,-5.0,-5.0,-5.3,-5.4,-5.4,-5.6,-5.9,-5.9,-5.9,-6.0
2020,-5.9,-6.0,-6.1,-6.2,-6.6,-6.7,-7.2,-7.3,-7.5,-7.5,-7.6,-7.8
2021,-7.8,-7.7,-7.6,-7.6,-7.7,-7.7,-7.8,-7.8,-7.6,-7.5,-6.9,-7.2
2022,-7.2,-7.2,-7.1,-7.2,-7.4,-7.4,-7.4,-7.6,-7.7,-7.7,-7.5,-7.5
2023,-7.5,-7.6,-7.7,-7.9,-7.7,-7.3,-7.1,-7.1,-6.8,-6.5,-5.5,-5.7
2024,-5.9,-6.0,-6.2,-6.0,-6.0,-6.2,-6.2,-6.1,-6.1,-6.3,-6.3,-6.6
2025,-6.2,-6.4,-6.6,-6.9,-6.8,-6.5,-6.4,-6.4,,,,
